oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
EA SPORTS FC™ 26,"Futbol, Spor, Simülasyon, Çok Oyunculu, Tek Oyunculu, Kontrolcü, Rekabetçi, Yerel Eşli Oyun, Gerçekçi, Çevrimiçi Eşli Oyun, PvP, Aile Dostu, Yerel Çok Oyunculu, E-spor, Modern, Anime, Karakter Kişiselleştirme, Birinci Şahıs, Steam Machine, Yarış","EA Canada, EA Romania",Electronic Arts,25 Eyl 2025,"Türkçe İncelemelerKarışık(%49/5,840)","En Son:Karışık(%47/4,600)","Arayuz, Seslendirme, Altyazi",$0.99 USD,$0.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Ortak/Bölünmüş Ekran PvP, Çevrimiçi Eşli, Ortak/Bölünmüş Ekran Eşli, Çapraz Platform Çok Oyunculu, Steam Başarımları, Uygulama İçi Satın Alımlar, HDR desteği",Tam kontrolcu destegi,Türkçe ve 20 dil daha,"Türkçe: Arayuz, Seslendirme, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Arapça: Arayuz, Seslendirme, Altyazi | Felemenkçe: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Seslendirme, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi | Latin Amerika İspanyolcası: Arayuz, Seslendirme, Altyazi | Çekçe: Arayuz, Altyazi | Danca: Arayuz, Altyazi | Norveççe: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | İsveççe: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",3+
Cities: Skylines,"Şehir Kurma, Simülasyon, İnşa Etme, Yönetim, Strateji, Sandbox, Tek Oyunculu, Ekonomi, Modlanabilir, Kaynak Yönetimi, Mod, Gerçekçi, Tekrar Oynanabilir, Basit Eğlence, Modern, Durdurulabilir Gerçek Zamanlı, Aile Dostu, Harika Müzik, Komik, Aksiyon",Colossal Order,Paradox Interactive,10 Mar 2015,"Türkçe İncelemelerÇok Olumlu(%92/8,378)","En Son:Çok Olumlu(%87/1,746)",Desteklenmiyor,$9.49 USD,$20.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, Bölüm düzenleyicisi içerir, Tablette Remote Play, Aile Paylaşımı",,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Japonca: Arayuz, Altyazi",3+
Grand Theft Auto V Enhanced,"Açık Dünya, Aksiyon, Cinsel İçerik, Çok Oyunculu, Suç, Yetişkinler İçin, Nişancı, Üçüncü Şahıs, Birinci Şahıs, Macera, Otomobil Simülasyonu, Yarış, TPS, Sandbox, Komik, Atmosferik, Modlanabilir, Komedi, PvP, Eşli",Rockstar North,Rockstar Games,4 Mar 2025,"Türkçe İncelemelerÇok Olumlu(%85/5,837)","En Son:Çok Olumlu(%89/8,219)",Desteklenmiyor,,$29.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Çevrimiçi Eşli, Steam Başarımları, Uygulama İçi Satın Alımlar, Telefonda Remote Play, Tablette Remote Play",Kismi kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Black Desert,"Sandbox, Keşif, Aksiyon RYO, Devasa Çok Oyunculu RYO, Savaş, Üretim, Orta Çağ, PvP, Birinci Şahıs, Aksiyon Macera, Karakter Kişiselleştirme, Açık Dünya, RYO, Strateji, 3D, Aşçılık, Fantezi, Aksiyon, Sihir, Sinematik",Pearl Abyss,Pearl Abyss,16 May 2018,"Türkçe İncelemelerÇoğunlukla Olumlu(%76/2,652)",En Son:Karışık(%65/385),"Arayuz, Altyazi",$4.99 USD,$4.99 USD,"MMO, Çevrimiçi PvP, Çevrimiçi Eşli, Steam Koleksiyon Kartları, Uygulama İçi Satın Alımlar",Kismi kontrolcu destegi,Türkçe ve 10 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Tayca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Seslendirme, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi",16+
R.E.P.O.,"Korku, Çevrimiçi Eşli Oyun, Çok Oyunculu, Komedi, Eşli, Fizik Tabanlı, Birinci Şahıs, 3D, Gizlilik, Hayatta Kalma, Robotlar, Aksiyon, Keşif, Komik, Prosedürel Oluşturma, Aksiyon Roguelike, Kıyamet Sonrası, Bilim Kurgu, Kalıcı Ölüm, Erken Erişim",semiwork,semiwork,26 Şub 2025,"Türkçe İncelemelerSon Derece Olumlu(%95/8,217)","En Son:Son Derece Olumlu(%95/8,125)",Desteklenmiyor,,$3.49 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Cloud, Aile Paylaşımı",,1 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme",
NBA 2K26,"Kumar, Spor, Basketbol, Simülasyon, E-spor, 3D, Çok Oyunculu, Kontrolcü, Tek Oyunculu, Karakter Kişiselleştirme, PvP, Yönetim, Takım Tabanlı, Çevrimiçi Eşli Oyun, Yerel Çok Oyunculu, Takas, LGBTİ+, Eşli, Hentai, Cinsel İçerik",Visual Concepts,2K,4 Eyl 2025,Türkçe İncelemelerÇoğunlukla Olumlu(%75/289),"En Son:Çoğunlukla Olumlu(%75/1,876)",Desteklenmiyor,$19.99 USD,$69.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Ortak/Bölünmüş Ekran PvP, Çevrimiçi Eşli, Ortak/Bölünmüş Ekran Eşli, Steam Başarımları, Uygulama İçi Satın Alımlar, Steam Cloud, Remote Play Together, Aile Paylaşımı",Kismi kontrolcu destegi,9 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz",3+
Tom Clancy’s The Division® 2,"Looter Shooter, Açık Dünya, Çok Oyunculu, TPS, Tek Oyunculu, Çevrimiçi Eşli Oyun, Nişancı, Aksiyon, Macera, RYO, Eşli, Kıyamet Sonrası, Ganimet, Karakter Kişiselleştirme, PvE, Hayatta Kalma, Devasa Çok Oyunculu, Askerî, PvP, Zengin Hikâye",Ubisoft,Ubisoft,12 Oca 2023,Türkçe İncelemelerÇoğunlukla Olumlu(%75/459),"En Son:Çok Olumlu(%82/1,826)",Desteklenmiyor,$19.99 USD,$23.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Çevrimiçi Eşli, Steam Başarımları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, HDR desteği",Kismi kontrolcu destegi,14 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Arapça: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Seslendirme, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Red Dead Redemption,"Açık Dünya, Vahşi Batı, Zengin Hikâye, Tek Oyunculu, Aksiyon, Zombi, Aksiyon Macera, TPS, Atmosferik, Macera, Harika Müzik, Nişancı, 3D, Üçüncü Şahıs, Cinsel İçerik, Klasik, Anlatı, Vahşet, Kan, Çıplaklık","Rockstar Games, Double Eleven",Rockstar Games,29 Eki 2024,Türkçe İncelemelerÇok Olumlu(%89/410),En Son:Çok Olumlu(%93/686),Desteklenmiyor,,$7.99 USD/ay,"Tek Oyunculu, Steam Başarımları, HDR desteği",Tam kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi",18+
The Crew Motorfest,"Yarış, Açık Dünya, Çok Oyunculu, Araç Kullanma, Arcade, Sandbox, Tek Oyunculu, PvP, Çevrimiçi Eşli Oyun, Spor, Eşli, 3D, Otomobil Simülasyonu, Motosiklet, Simülasyon, Kontrolcü, Aile Dostu, Devasa Çok Oyunculu",Ubisoft Ivory Tower,Ubisoft,18 Nis 2024,Türkçe İncelemelerÇoğunlukla Olumlu(%76/400),"En Son:Çoğunlukla Olumlu(%70/3,628)",Desteklenmiyor,$23.99 USD,$55.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Çevrimiçi Eşli, Steam Başarımları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, HDR desteği",Tam kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi",
Valheim,"Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Çevrimiçi Eşli Oyun, Açık Dünya, Çok Oyunculu, İnşa Etme, Üretim, Üs İnşa Etme, Keşif, Eşli, Macera, Zor, Mitoloji, Sandbox, Üçüncü Şahıs, PvE, Tek Oyunculu, Aksiyon, Erken Erişim, Bağımsız",Iron Gate AB,Coffee Stain Publishing,2 Şub 2021,"Türkçe İncelemelerÇok Olumlu(%92/9,737)","En Son:Çok Olumlu(%87/2,489)","Arayuz, Altyazi",-50%$5.49$2.74 USD,$2.74 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Cloud, Tablette Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 13 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
